Episode,TotalPnL,AvgDailyRet,DailyVol,AnnualSharpe,WinRateDays,TotalTrades,MaxDrawdown
1,183.27165747279918,0.4480969620361838,0.4591753140284193,15.4915095202777,0.8410757946210269,886,0.9318857525775712
2,36.19365180652885,0.8043033734784188,0.5357726389029127,23.830855295988478,0.9333333333333333,124,0.059558092623444026
3,240.27959516979524,0.36296011354953966,0.43341168304460986,13.294088284034641,0.7990936555891238,1240,1.1116161422874637
4,207.1251353182809,0.4184346168046078,0.43899530081388954,15.131013028427938,0.8363636363636363,1046,0.9318857525775712
5,77.9869452567809,0.6340402053396822,0.4974352738430264,20.233941492550755,0.9024390243902439,320,0.1741276593012846
6,94.92840522512184,0.5970339951265526,0.48855369937200976,19.399343131205107,0.89937106918239,404,0.36538297828899857
7,162.8731446147471,0.48187320891937013,0.4535798482155251,16.86472641076677,0.8668639053254438,782,0.9318857525775712
8,201.0764758557143,0.4224295711254501,0.4414854737567743,15.189314141556796,0.8403361344537815,1012,0.9318857525775712
9,66.29082286861484,0.6834105450372665,0.5126689310444822,21.161426831666105,0.9175257731958762,240,0.05955809262344758
10,60.25831492241154,0.726003794245922,0.5292398174156976,21.77642831006361,0.9397590361445783,216,0.05955809262344758
11,200.35495620889816,0.4226897810314306,0.4420113740848324,15.180587304835438,0.8396624472573839,1010,0.9318857525775712
12,93.6743733237156,0.6004767520751002,0.49101313560601634,19.413478445203175,0.8974358974358975,392,0.36538297828899857
13,155.73494774637322,0.499150473546068,0.4560913441384437,17.373204338675002,0.8782051282051282,758,0.9318857525775712
14,219.99923785134882,0.39076241181411864,0.4363806628405573,14.215022590261468,0.8188277087033747,1124,0.9318857525775712
15,248.31645840862632,0.3163266986097151,0.4442758562603778,11.302731387872997,0.7503184713375797,1320,1.8690193974887077
16,119.23509072074397,0.5419776850942907,0.48338682502064884,17.798641957335736,0.8909090909090909,552,0.931885752577573
17,247.18331904942653,0.3414134241014179,0.43327218360093145,12.508926932591141,0.7803867403314917,1284,1.1116161422874633
18,217.74507874004598,0.39375240278489315,0.4380730779942081,14.268454121940872,0.8209764918625678,1114,0.9318857525775712
19,242.99795529646912,0.3605310909443162,0.4354097032765686,13.144524791716615,0.7937685459940653,1250,1.1116161422874633
20,194.11357857960905,0.43328923790091306,0.4487793565246542,15.326581571719963,0.8392857142857143,960,0.9318857525775712
