#{"t_start": 1750359569.4837744, "env_id": "None"}
r,l,t
-0.656939,402,27.081449
-4.882984,1078,76.128006
-4.239658,918,118.075175
-0.422233,407,136.476932
-0.444347,373,153.722292
-3.436309,980,200.085594
-0.310644,154,207.230103
-0.153988,479,228.781357
-0.28601,82,232.460315
-4.594363,1007,280.063905
-0.923558,532,304.505746
-0.773255,295,317.809278
-5.783868,1010,365.246789
0.26526,329,379.312223
-5.918344,1126,431.18122
-0.900683,480,453.951945
-5.246815,1133,506.137556
-0.469735,356,522.032462
-3.183877,723,555.612222
-5.293706,946,598.480219
-3.491217,743,632.998473
-1.223035,640,661.738396
-1.103087,561,688.360158
-4.164332,907,730.064182
-2.831343,934,773.728012
-0.736211,224,783.913617
-3.225798,915,826.964773
-2.802183,871,866.563296
-0.498429,149,873.133233
0.162506,19,873.940629
0.097607,212,883.730475
0.091559,35,885.33418
-1.684366,560,912.893529
-0.160988,118,918.461684
-1.361772,684,948.511601
-0.479108,182,958.163587
-0.275992,177,966.106038
-4.495334,896,1008.309199
-2.633473,769,1042.918941
-0.651801,508,1066.822023
-3.662818,947,1110.761225
-0.221271,73,1114.167356
-0.109136,78,1116.907918
0.846263,486,1138.897692
-0.111914,399,1157.923057
-3.003138,706,1191.757877
-0.490085,193,1200.498399
-3.975986,976,1244.756273
0.910809,598,1271.571263
-0.224161,341,1287.803875
0.433022,347,1303.390955
0.612254,312,1317.718963
-0.4882,88,1321.656477
-1.376191,454,1344.067183
-0.340379,651,1373.204989
-0.463544,448,1394.664399
-0.148324,125,1400.221965
-4.297474,996,1446.892165
-0.78077,219,1456.507117
0.161123,172,1464.738078
-0.347396,441,1486.354828
-0.325492,85,1490.235837
-2.622617,673,1521.249349
0.075225,12,1521.731829
-1.907289,715,1556.235759
-1.753402,553,1583.613308
0.102611,82,1587.198281
0.303245,593,1613.291082
0.988555,409,1632.747299
-1.083255,684,1663.432704
-0.252357,42,1665.39855
-0.329998,111,1672.013623
-0.746415,502,1694.591601
-4.240403,931,1737.810813
-1.513793,749,1773.250176
-0.693636,708,1804.723429
1.112404,366,1822.534843
-0.43897,482,1844.782163
-1.205947,858,1885.287407
-0.022764,457,1906.684129
-0.531119,568,1932.515121
-0.680997,462,1953.936275
-4.601351,1021,2001.218518
0.077393,185,2009.258844
-0.27609,650,2038.258349
-3.455943,891,2078.848261
-1.736137,612,2108.007213
0.165328,198,2116.759114
-0.1306,33,2118.136536
-3.786292,1054,2166.058543
-0.979119,257,2178.129373
-0.973655,503,2201.708979
0.438102,348,2217.693933
-1.792828,729,2250.758214
-0.719981,436,2269.793394
0.748262,638,2300.209798
-2.056138,1040,2348.148457
-4.876724,1090,2398.571933
0.140171,218,2408.962423
-2.621762,892,2449.519141
1.587748,525,2473.91707
-3.571749,1040,2522.437247
-0.676944,582,2547.580542
-3.353901,911,2588.918584
2.198386,535,2613.982042
-3.996893,1018,2658.238769
-2.95603,1070,2708.772255
-0.958824,502,2732.729533
-0.346374,64,2735.585049
-2.010957,877,2775.953155
-3.5563,1062,2822.597022
-0.20875,316,2837.637832
-0.820572,752,2872.968762
1.081125,559,2898.816039
-2.493625,1039,2946.158042
0.401011,665,2976.407021
-2.23923,1061,3025.909673
2.257189,581,3052.052456
1.590105,585,3078.281704
0.846292,792,3115.720623
2.405768,381,3133.716911
1.974324,364,3149.223423
-2.318317,1104,3201.618891
0.996619,481,3224.578236
1.105917,423,3243.269629
-2.256213,999,3289.284167
-0.057761,33,3291.009958
-2.31656,1105,3342.838948
-1.886144,1000,3387.627189
0.235496,184,3395.626912
1.18269,195,3403.797195
1.220376,734,3438.786014
0.142008,753,3475.557653
