#{"t_start": 1750359572.437315, "env_id": "None"}
r,l,t
-0.457657,489,27.69499
-1.374273,432,45.777528
-1.143268,746,81.954184
-2.255439,712,114.25319
0.267203,96,118.746703
-0.119108,27,119.949185
0.038975,308,133.814048
-3.001653,674,164.86799
-3.401878,887,206.885304
-1.27649,440,226.899239
-1.706967,673,258.523712
-0.08448,510,282.182166
-1.249158,680,313.003149
0.071532,4,313.234359
-2.403362,623,344.042637
-2.170744,425,362.728404
-0.016113,165,369.717236
0.542044,357,386.438788
-1.057025,669,416.013599
-5.670129,998,462.657743
-0.034719,37,464.471637
-6.134538,1017,511.69662
-1.07844,811,548.680166
-0.120405,58,551.319863
-0.073154,296,564.240094
-2.050725,729,597.955219
0.352057,303,611.685368
-0.307129,57,614.457513
0.280682,303,628.832873
-5.899587,1129,680.923286
-4.366036,945,724.40977
-1.338277,565,749.38113
-5.22713,1048,798.825525
-4.022984,811,837.094641
-3.580757,910,878.269958
-4.981747,1100,930.478547
-6.122958,1056,978.701147
-5.574981,1043,1028.189878
-0.539182,234,1038.456718
0.003938,1,1038.516827
-0.386693,50,1040.411471
-4.066549,1085,1090.46737
0.231572,286,1104.563996
-0.149167,440,1123.181894
-1.190613,598,1151.911751
-0.809215,357,1167.786613
-2.131411,780,1205.195403
-5.052077,962,1249.030179
-4.154377,947,1292.115896
-0.498319,316,1306.331733
-4.342442,1157,1360.203538
-1.112719,752,1395.582424
0.300229,637,1426.671051
-2.014786,648,1455.225373
-3.013351,923,1498.853328
0.267771,196,1508.10114
-2.521685,775,1545.120019
-4.184785,1014,1593.09744
0.27633,67,1596.318752
-5.360597,1104,1646.436729
-1.048585,726,1681.27383
-0.032903,93,1685.5153
0.249515,160,1692.263544
-1.452844,921,1735.165526
-3.190242,1134,1787.390607
-3.690209,1076,1837.84223
-0.023475,3,1838.015646
0.014787,707,1871.24708
0.094786,187,1880.029639
-1.404571,681,1911.883702
-0.871282,401,1929.84984
0.410993,412,1947.964548
0.661338,307,1962.929222
-0.808656,591,1989.570172
0.677158,349,2006.182827
-4.346434,1032,2053.293835
-1.519951,630,2081.515061
-0.560198,492,2105.003443
-0.830282,470,2125.757649
0.697527,183,2134.21704
0.008608,125,2140.403413
-0.384885,207,2149.559535
-0.87392,795,2187.129396
-0.218715,273,2199.092923
0.008691,244,2210.483343
-0.453747,675,2241.677293
-0.636275,131,2247.031765
-0.217887,868,2286.881779
0.15183,53,2289.201191
-2.938682,885,2332.104778
0.981886,593,2357.296885
1.152392,469,2379.764251
0.140441,37,2381.38662
-0.223725,725,2414.375079
-2.947721,1079,2463.186813
0.24957,305,2477.565685
0.174402,644,2507.328649
-3.683053,980,2551.716307
0.029131,305,2567.036996
-2.013435,732,2598.713593
1.452088,603,2626.805357
-4.937951,1072,2673.497851
-0.27667,198,2682.605749
-0.145536,344,2698.341778
-0.139296,184,2708.815308
0.040793,30,2710.476419
-1.392015,901,2753.361022
-1.535042,838,2790.415603
-0.778744,765,2823.785075
0.955143,548,2850.376928
-0.243266,521,2874.075902
0.319737,608,2901.80626
-0.444554,938,2945.120602
-2.873376,882,2985.85506
0.930354,578,3012.070257
0.640299,743,3045.968968
0.096092,658,3075.634635
0.252626,74,3080.124144
0.709162,390,3097.93934
0.249856,99,3102.335273
-0.095658,42,3104.429501
0.475953,269,3116.553018
-3.692567,994,3162.249777
1.689128,678,3194.737576
-1.46419,785,3231.427395
-0.271472,777,3268.239883
1.265036,324,3281.933091
0.27187,88,3285.7093
0.9344,618,3314.8941
0.597729,109,3320.076699
1.666065,835,3357.010393
2.851316,429,3377.448191
0.728802,403,3395.133527
0.862498,502,3418.394694
2.690101,457,3440.109599
0.02822,901,3482.663292
