Date,Spread,ZScore,LongEntry,ShortEntry,Exit,Signal
2021-11-29,4.193304549028227,-1.3321545037449305,False,False,False,
2021-11-30,4.165676468526399,-1.3460809949925536,False,False,False,
2021-12-01,4.268216813113398,-1.2943934660191008,False,False,False,
2021-12-02,4.421546080941795,-1.2171047558506405,False,False,False,
2021-12-03,4.854924431052709,-0.9986516570430772,False,False,False,
2021-12-06,5.008984103254079,-0.9209947718178384,False,False,False,
2021-12-07,4.046846278398419,-1.4059797491843713,False,False,False,
2021-12-08,4.007673984296744,-1.4257253341489229,False,False,False,
2021-12-09,4.303696700412175,-1.2765091131810382,False,False,False,
2021-12-10,4.421672055385031,-1.2170412558915664,False,False,False,
2021-12-13,5.225174609962963,-0.8120195862525096,False,False,False,
2021-12-14,5.610594038902249,-0.6177411490142853,False,False,False,
2021-12-15,6.4697852114626215,-0.1846485082169757,False,False,True,0.0
2021-12-16,7.494199567556095,0.3317282108653225,False,False,True,0.0
2021-12-17,7.684760698419936,0.4277843925800428,False,False,True,0.0
2021-12-20,7.675960013339875,0.4233482297517041,False,False,True,0.0
2021-12-21,5.5928517034315774,-0.6266845310790785,False,False,False,
2021-12-22,5.737380808511688,-0.5538317204470902,False,False,False,
2021-12-23,5.666434351751775,-0.5895937129985251,False,False,False,
2021-12-24,5.666434351751775,-0.5895937129985251,False,False,False,
2021-12-27,5.748776438017387,-0.5480875235398247,False,False,False,
2021-12-28,6.049981413589592,-0.3962590801642742,False,False,True,0.0
2021-12-29,5.980955586159041,-0.4310529407622961,False,False,True,0.0
2021-12-30,6.023663811614725,-0.409524998277448,False,False,True,0.0
2021-12-31,6.0243228618003855,-0.4091927907380303,False,False,True,0.0
2022-01-03,5.538601215821885,-0.6540305836152184,False,False,False,
2022-01-04,5.750319953903798,-0.5473094832238771,False,False,False,
2022-01-05,6.542575476741902,-0.147957106790915,False,False,True,0.0
2022-01-06,6.387443125196995,-0.2261546976756833,False,False,True,0.0
2022-01-07,6.847539840187181,0.0057663318705847,False,False,True,0.0
2022-01-10,7.232441190372953,0.1997836210632207,False,False,True,0.0
2022-01-11,6.3103963194179045,-0.2649916941969891,False,False,True,0.0
2022-01-12,5.97896576235344,-0.4320559515871411,False,False,True,0.0
2022-01-13,6.347940020884238,-0.2460670341997199,False,False,True,0.0
2022-01-14,6.125838401876976,-0.3580218351488113,False,False,True,0.0
2022-01-17,6.125838401876976,-0.3580218351488113,False,False,True,0.0
2022-01-18,6.12308722723013,-0.3594086202219709,False,False,True,0.0
2022-01-19,6.337267576882425,-0.2514466948667779,False,False,True,0.0
2022-01-20,6.691474143351584,-0.0729017305339456,False,False,True,0.0
2022-01-21,7.122448149093657,0.1443394099978068,False,False,True,0.0
2022-01-24,6.657435843418,-0.0900594221831241,False,False,True,0.0
2022-01-25,6.698726244204877,-0.0692461628207422,False,False,True,0.0
2022-01-26,6.4896050299674926,-0.1746579289250372,False,False,True,0.0
2022-01-27,6.712099024267559,-0.0625053432952234,False,False,True,0.0
2022-01-28,6.810667874398263,-0.012819726209276,False,False,True,0.0
2022-01-31,6.242316538073723,-0.2993086811830061,False,False,True,0.0
2022-02-01,5.605298758415742,-0.6204103419516729,False,False,False,
2022-02-02,5.583560880818027,-0.6313677576174649,False,False,False,
2022-02-03,5.698026295843235,-0.5736691563556554,False,False,False,
2022-02-04,5.784443324464746,-0.5301089100090635,False,False,False,
2022-02-07,5.420705258017108,-0.7134584191606437,False,False,False,
2022-02-08,5.170160297894469,-0.8397506599137873,False,False,False,
2022-02-09,4.746025088525315,-1.0535445671922048,False,False,False,
2022-02-10,4.62255449903175,-1.115782408283165,False,False,False,
2022-02-11,4.421652511713262,-1.2170511072735262,False,False,False,
2022-02-14,3.533683435929973,-1.6646498306534598,False,False,False,
2022-02-15,3.5562492179395377,-1.653275093069675,False,False,False,
2022-02-16,3.672793646617535,-1.5945285230415465,False,False,False,
2022-02-17,3.879665393285421,-1.490250646438419,False,False,False,
2022-02-18,4.283957497763808,-1.2864590564244482,False,False,False,
2022-02-21,4.283957497763808,-1.2864590564244482,False,False,False,
2022-02-22,3.868163784957545,-1.4960482641086428,False,False,False,
2022-02-23,3.614053688121388,-1.6241375839326293,False,False,False,
2022-02-24,4.382671742785888,-1.236700150110823,False,False,False,
2022-02-25,3.816376224197654,-1.5221528286878097,False,False,False,
2022-02-28,3.915907868163927,-1.4719818959490636,False,False,False,
2022-03-01,3.5537579276138587,-1.6545308782087678,False,False,False,
2022-03-02,3.618484268771496,-1.621904260389159,False,False,False,
2022-03-03,4.105816189660061,-1.3762547759635917,False,False,False,
2022-03-04,4.038251804206197,-1.4103119672553297,False,False,False,
2022-03-07,4.749392378663359,-1.0518472166783832,False,False,False,
2022-03-08,4.566187782504869,-1.1441951886902926,False,False,False,
2022-03-09,4.227179094577167,-1.3150793557963307,False,False,False,
2022-03-10,4.35244719936793,-1.2519354408631342,False,False,False,
2022-03-11,4.677405076625433,-1.088133868286513,False,False,False,
2022-03-14,4.705750391862708,-1.073845840403544,False,False,False,
2022-03-15,4.449495726050756,-1.20301617347669,False,False,False,
2022-03-16,4.942220531984987,-0.9546482965669638,False,False,False,
2022-03-17,5.393273219204318,-0.7272860916406596,False,False,False,
2022-03-18,5.087284604525365,-0.8815258247960955,False,False,False,
2022-03-21,4.536432879361229,-1.1591937477894807,False,False,False,
2022-03-22,5.0424312380422975,-0.9041350688842456,False,False,False,
2022-03-23,4.639519975594737,-1.10723061762038,False,False,False,
2022-03-24,5.273841961948548,-0.7874878258420308,False,False,False,
