Date,Spread,ZScore,LongEntry,ShortEntry,Exit,Signal
2021-11-29,0.7086066269135216,-0.3665849710935401,False,False,True,0.0
2021-11-30,0.445192590898948,-1.0712368099924765,False,False,False,
2021-12-01,0.6142774180287844,-0.6189225135729943,False,False,False,
2021-12-02,0.7726730968399664,-0.1952024717838409,False,False,True,0.0
2021-12-03,0.819546982137112,-0.0698113955499837,False,False,True,0.0
2021-12-06,0.8971085227366515,0.1376714061951605,False,False,True,0.0
2021-12-07,0.8290212553115239,-0.0444670209084938,False,False,True,0.0
2021-12-08,0.7564936980030481,-0.2384835486588904,False,False,True,0.0
2021-12-09,0.6863402804788166,-0.4261490786033906,False,False,True,0.0
2021-12-10,0.863151679006684,0.0468343622033148,False,False,True,0.0
2021-12-13,0.8169592750688892,-0.0767337014822843,False,False,True,0.0
2021-12-14,0.8323298227887861,-0.0356163605858791,False,False,True,0.0
2021-12-15,0.8297481419009998,-0.0425225460441522,False,False,True,0.0
2021-12-16,0.964215754482268,0.3171881660778782,False,False,True,0.0
2021-12-17,1.0165117713127216,0.4570838412826348,False,False,True,0.0
2021-12-20,0.8731983322917074,0.0737098955620615,False,False,True,0.0
2021-12-21,0.96936343641719,0.3309585922722851,False,False,True,0.0
2021-12-22,0.973073227770172,0.3408825558482636,False,False,True,0.0
2021-12-23,1.0315920023760723,0.4974245638598597,False,False,True,0.0
2021-12-24,1.0315920023760723,0.4974245638598597,False,False,True,0.0
2021-12-27,0.9597792792961856,0.3053202700257117,False,False,True,0.0
2021-12-28,0.9718448714797248,0.3375966128059621,False,False,True,0.0
2021-12-29,0.980480945332758,0.3606987428726763,False,False,True,0.0
2021-12-30,1.02993269682041,0.4929857999701929,False,False,True,0.0
2021-12-31,0.909398923539598,0.1705491284974075,False,False,True,0.0
2022-01-03,0.8949083684303218,0.1317858322854587,False,False,True,0.0
2022-01-04,1.0693970585845207,0.5985558580764171,False,False,False,
2022-01-05,1.0961707906149414,0.670177552177712,False,False,False,
2022-01-06,1.1578976841164916,0.835301513199211,False,False,False,
2022-01-07,1.200360412189518,0.9488924207834524,False,False,False,
2022-01-10,1.2398639502469564,1.054567278343617,False,False,False,
2022-01-11,1.2735718650968906,1.1447384193497128,False,False,False,
2022-01-12,1.237742554040011,1.0488923881180463,False,False,False,
2022-01-13,1.3613102424433237,1.3794450047488005,False,False,False,
2022-01-14,1.4069853096219944,1.5016291547137708,False,False,False,
2022-01-17,1.4069853096219944,1.5016291547137708,False,False,False,
2022-01-18,1.3392373760244496,1.3203984704518592,False,False,False,
2022-01-19,1.330446795692552,1.2968830242380602,False,False,False,
2022-01-20,1.1390803505502092,0.7849637677196117,False,False,False,
2022-01-21,1.112416502466381,0.7136360212234003,False,False,False,
2022-01-24,1.4069527549894687,1.5015420686874488,False,False,False,
2022-01-25,1.4536464258718738,1.626451058162892,False,False,False,
2022-01-26,1.3959057665096566,1.4719905654176524,False,False,False,
2022-01-27,1.4560601474621748,1.6329079401989794,False,False,False,
2022-01-28,1.5197903000216044,1.803390765919881,False,False,False,
