,SPY,^VIX,10y2y_Spread,Credit_Spread
2019-05-31,-0.06834249899193567,18.709999084472656,0.19000000000000017,-2.08
2019-06-03,-0.06834249899193567,18.860000610351562,0.24999999999999978,-2.08
2019-06-04,-0.06834249899193567,16.969999313354492,0.2400000000000002,-2.08
2019-06-05,-0.06834249899193567,16.09000015258789,0.29000000000000004,-2.08
2019-06-06,-0.06834249899193567,15.930000305175781,0.2400000000000002,-2.08
2019-06-07,-0.06834249899193567,16.299999237060547,0.23999999999999977,-2.08
2019-06-10,-0.06834249899193567,15.9399995803833,0.25,-2.08
2019-06-11,-0.06834249899193567,15.989999771118164,0.21999999999999997,-2.08
2019-06-12,-0.06834249899193567,15.90999984741211,0.25,-2.08
2019-06-13,-0.06834249899193567,15.819999694824219,0.27,-2.08
2019-06-14,-0.06834249899193567,15.279999732971191,0.24999999999999978,-2.08
2019-06-17,-0.06834249899193567,15.350000381469727,0.22999999999999976,-2.08
2019-06-18,-0.06834249899193567,15.149999618530273,0.19999999999999996,-2.08
2019-06-19,-0.06834249899193567,14.329999923706055,0.2899999999999998,-2.08
2019-06-20,-0.06834249899193567,14.75,0.2899999999999998,-2.08
2019-06-21,-0.06834249899193567,15.399999618530273,0.2999999999999998,-2.08
2019-06-24,-0.06834249899193567,15.260000228881836,0.30000000000000004,-2.08
2019-06-25,-0.06834249899193567,16.280000686645508,0.29000000000000004,-2.08
2019-06-26,-0.06834249899193567,16.209999084472656,0.2799999999999998,-2.08
2019-06-27,-0.06834249899193567,15.819999694824219,0.2699999999999998,-2.08
2019-06-28,-0.06834249899193567,15.079999923706055,0.25,-2.08
2019-07-01,-0.06834249899193567,14.0600004196167,0.24999999999999978,-2.08
2019-07-02,-0.06834249899193567,12.930000305175781,0.20999999999999996,-2.08
2019-07-03,-0.06834249899193567,12.569999694824219,0.18999999999999995,-2.08
2019-07-04,-0.06834249899193567,12.569999694824219,0.18999999999999995,-2.08
2019-07-05,-0.06834249899193567,13.279999732971191,0.16999999999999993,-2.08
2019-07-08,-0.06834249899193567,13.960000038146973,0.16999999999999993,-2.08
2019-07-09,-0.06834249899193567,14.09000015258789,0.1499999999999999,-2.08
2019-07-10,-0.06834249899193567,13.029999732971191,0.24999999999999978,-2.08
2019-07-11,-0.06834249899193567,12.930000305175781,0.2799999999999998,-2.08
2019-07-12,-0.06834249899193567,12.390000343322754,0.28,-2.08
2019-07-15,-0.06834249899193567,12.680000305175781,0.2599999999999998,-2.08
2019-07-16,-0.06834249899193567,12.859999656677246,0.2599999999999998,-2.08
2019-07-17,-0.06834249899193567,13.970000267028809,0.22999999999999998,-2.08
2019-07-18,-0.06834249899193567,13.529999732971191,0.27,-2.08
2019-07-19,-0.06834249899193567,14.449999809265137,0.24999999999999978,-2.08
2019-07-22,-0.06834249899193567,13.529999732971191,0.24999999999999978,-2.08
2019-07-23,-0.06834249899193567,12.609999656677246,0.25,-2.08
2019-07-24,-0.06834249899193567,12.069999694824219,0.21999999999999975,-2.08
2019-07-25,-0.06834249899193567,12.739999771118164,0.21999999999999997,-2.08
2019-07-26,-0.06834249899193567,12.15999984741211,0.21999999999999997,-2.08
2019-07-29,-0.06834249899193567,12.829999923706055,0.20999999999999996,-2.08
2019-07-30,-0.06834249899193567,13.9399995803833,0.20999999999999996,-2.08
2019-07-31,-0.06834249899193567,16.1200008392334,0.13000000000000012,-2.08
2019-08-01,-0.06834249899193567,17.8700008392334,0.16999999999999993,-1.81
