#{"t_start": 1747166143.7181695, "env_id": "None"}
r,l,t
140.294424,477,434.850357
90.798653,311,435.603372
15.851513,27,435.662135
125.79536,559,437.069565
113.109821,349,437.936777
134.165218,466,441.132811
78.803776,234,441.723622
76.118567,189,442.251056
67.93884,187,442.835905
154.993889,717,444.959498
131.712462,477,446.197782
103.770779,321,448.906313
160.651707,723,451.335928
82.759695,220,452.106408
158.942027,736,454.371768
168.202924,800,458.38891
132.454319,448,459.663401
113.640948,333,460.609313
163.039095,773,464.528756
73.212434,172,465.052499
102.201881,272,465.95425
5.343861,10,465.969535
98.62461,289,466.771222
117.697726,416,468.030837
111.98086,338,469.03683
148.694262,636,472.739976
157.567876,673,474.786989
108.407005,319,475.667871
138.39045,470,477.050492
28.96514,52,477.185214
121.732812,362,480.214529
148.969816,502,481.754435
136.353694,498,483.267035
163.4679,620,485.264799
146.541911,506,488.724869
158.720247,655,490.636296
134.017691,402,491.825887
15.666117,24,491.88587
152.219583,596,493.369371
67.378685,139,493.825694
150.205797,575,497.452714
167.592589,775,499.653986
172.676105,721,503.572146
60.875109,109,503.886851
85.543846,196,504.477488
142.973139,464,505.76619
44.562284,69,505.883288
154.45916,568,512.32245
177.76269,723,516.866575
56.634464,125,517.12148
157.500977,668,518.955196
164.215492,600,521.026346
163.752311,585,524.867312
155.764074,509,526.989498
120.083777,311,528.58701
59.566813,125,529.280045
160.486035,725,532.921682
146.223121,492,536.294904
55.246659,105,536.510829
19.028529,34,536.648712
182.668237,742,539.334321
66.909827,140,539.887279
5.789032,7,539.899974
164.785911,552,541.985871
152.963616,514,545.649581
137.046264,378,546.788725
148.045456,428,547.737689
123.979825,351,548.534897
189.782067,722,552.746797
131.605914,356,553.833997
178.468913,767,556.509759
157.934083,506,557.958419
166.824775,586,561.643048
51.860319,100,561.982198
78.603097,173,562.527042
155.102403,488,564.277937
132.187492,405,565.858568
87.036842,198,566.504693
46.179839,81,566.710844
175.859561,690,570.856961
51.036992,85,571.120521
178.687492,684,573.295192
157.378811,525,575.011687
188.035426,762,579.881117
169.985365,613,581.38892
182.724406,652,582.967757
83.461007,178,583.458425
164.249788,550,586.978824
65.199468,141,587.342612
79.74771,169,587.833159
174.44846,636,589.858908
164.306085,528,591.62466
62.108582,132,591.983675
160.86347,491,595.286044
109.462797,272,596.153066
152.920989,516,602.418085
184.023956,773,605.624536
163.360535,570,609.85105
0.525617,2,609.855742
80.360512,180,610.346545
161.880921,441,611.828676
46.842209,76,612.156072
78.938431,191,612.803581
143.094861,413,614.388937
124.138955,353,615.66345
165.412,479,619.159025
141.015527,395,621.128754
86.672374,186,621.610639
189.489064,673,623.704437
176.504152,556,627.806013
198.007769,775,630.229404
