Date,PriceA,PriceB,BetaDyn,SpreadDyn,ZScoreDyn,RollingMean,RollingStd,ZScore,Signal
2021-11-24,51.28861618041992,50.74975204467773,0.9208809377248378,4.554136928214092,,,,,0
2021-11-26,48.5942497253418,47.7543830871582,0.9208809377248378,4.618148647568418,,,,,0
2021-11-29,48.317169189453125,47.554046630859375,0.9208809377248378,4.525554135416677,,,,,0
2021-11-30,47.50503921508789,46.42839431762695,0.9208809377248378,4.750015918813048,,,,,0
2021-12-01,46.41581344604492,45.86557388305664,0.9208809377248378,4.179080759327896,,,,,0
2021-12-02,48.24072647094727,47.40142059326172,0.9208809377248378,4.589661825534982,,,,,0
2021-12-03,47.67701721191406,46.5237922668457,0.9208809377248378,4.8341437627056365,,,,,0
2021-12-06,48.5942497253418,47.84976959228516,0.9208809377248378,4.530309033280808,,,,,0
2021-12-07,47.91587066650391,47.20109939575195,0.9208809377248378,4.449277993300576,,,,,0
2021-12-08,47.4668083190918,47.1724739074707,0.9208809377248378,4.026576312379731,,,,,0
2021-12-09,47.256614685058594,46.800437927246094,0.9208809377248378,4.158983520683144,,,,,0
2021-12-10,47.56235504150391,46.93398284912109,0.9208809377248378,4.341744904243832,,,,,0
2021-12-13,46.66423034667969,46.61918258666992,0.9208809377248378,3.733513770301663,,,,,0
2021-12-14,46.54002380371094,47.02938461303711,0.9208809377248378,3.2315600006352625,,,,,0
2021-12-15,45.54635620117188,46.075439453125,0.9208809377248378,3.116362311494143,,,,,0
2021-12-16,45.69923782348633,46.55241394042969,0.9208809377248378,2.830007220668626,,,,,0
2021-12-17,45.38393020629883,46.352088928222656,0.9208809377248378,2.699175088572076,,,,,0
2021-12-20,46.30116271972656,44.50143814086914,0.9208809377248378,5.320636634459127,,,,,0
2021-12-21,47.43815612792969,45.98004150390625,0.9208809377248378,5.096012391185539,,,,,0
2021-12-22,48.04964065551758,46.60010528564453,0.9208809377248378,5.13649200199707,,4.236069658039118,0.7558558442426012,1.191261998986344,0
2021-12-23,48.21206283569336,46.94352340698242,0.9208809377248378,4.982666980563515,,4.257496160656588,0.771263555253869,0.9402373740688804,0
2021-12-27,48.83311462402344,47.45866012573242,0.9208809377248378,5.129339184274599,,4.283055687491897,0.7920352269833487,1.0684922437174547,0
2021-12-28,49.13885116577149,47.763916015625,0.9208809377248378,5.153971395892341,,4.314476550515681,0.8143133845244703,1.0309235502335445,0
2021-12-29,48.804443359375,47.93563079833984,0.9208809377248378,4.661434719368195,,4.310047490543438,0.8120575742568388,0.43271221150339273,0
2021-12-30,48.479591369628906,47.56246948242188,0.9208809377248378,4.680219872147262,,4.335104446184407,0.815527948507727,0.42318037854417584,0
2021-12-31,47.88721084594727,47.53377151489258,0.9208809377248378,4.114266759714809,,4.311334692893398,0.8146455691087001,-0.2419063463319395,0
2022-01-03,50.294952392578125,49.19860076904297,0.9208809377248378,4.98889878163191,,4.319072443839712,0.820586022213018,0.816278025289488,0
2022-01-04,50.70579147338867,50.404178619384766,0.9208809377248378,4.289544201119405,,4.307034202231641,0.8190886981195191,-0.021353000172496573,0
2022-01-05,50.51470184326172,49.96404266357422,0.9208809377248378,4.503767382705689,,4.309758671701897,0.8196771445893011,0.23668917973917647,0
2022-01-06,52.998870849609375,51.63844299316406,0.9208809377248378,5.446013043413871,,4.380730508253604,0.8545754108208291,1.2465635234426549,0
2022-01-07,52.79823303222656,51.73412322998047,0.9208809377248378,5.15726511982983,,4.430644588210939,0.8699573338519089,0.8352369746705105,0
2022-01-10,52.97020721435547,51.67671203613281,0.9208809377248378,5.382108175985074,,4.482662751798001,0.8951022143903272,1.0048521942264483,0
2022-01-11,52.368282318115234,51.542762756347656,0.9208809377248378,4.903534618120958,,4.541163794188965,0.8816973165462247,0.4109923180343424,0
2022-01-12,52.979759216308594,51.810665130615234,0.9208809377248378,5.268305326680078,,4.643001060491206,0.8390680650552751,0.7452366407815552,0
2022-01-13,52.444705963134766,52.75789260864258,0.9208809377248378,3.8609683453017,,4.680231362181583,0.7823680829959598,-1.0471580253410135,0
2022-01-14,53.562599182128906,52.88228225708008,0.9208809377248378,4.864313508199452,,4.7819466765581256,0.6502442167773542,0.12667061008176492,0
2022-01-18,52.73134613037109,51.78196334838867,0.9208809377248378,5.0463231648737406,,4.899304080373208,0.428586140874445,0.34303275463030336,0
2022-01-19,51.84277725219727,50.31805419921875,0.9208809377248378,5.505840316731501,,4.908564264486826,0.440017080262388,1.3573928809502365,0
2022-01-20,50.61025238037109,48.41402816772461,0.9208809377248378,6.026696722240139,,4.955098481039557,0.5052597203005276,2.1208859486428033,-1
2022-01-21,49.41592788696289,48.1174201965332,0.9208809377248378,5.105512855479347,,4.95354952371367,0.5047215596858164,0.3010834961365075,0
2022-01-24,49.998756408691406,49.30384826660156,0.9208809377248378,4.595782383500243,,4.934205293860507,0.5109227317816283,-0.6623759118725377,0
2022-01-25,51.09752655029297,49.18903732299805,0.9208809377248378,5.800279734508479,,4.967752321372201,0.5452811133829568,1.5267857123662834,0
2022-01-26,50.3236083984375,49.01681137084961,0.9208809377248378,5.184961178968017,,4.969301810525986,0.5458818305419691,0.3950660314667692,0
2022-01-27,48.77577590942383,47.524208068847656,0.9208809377248378,5.011638618353096,,4.98681200547523,0.5410822783204724,0.04588324894862363,0
2022-01-28,49.47325897216797,46.77789688110352,0.9208809377248378,6.396385427501592,,5.072620283242946,0.6201980961770991,2.1344231019384514,-1
2022-01-31,50.046531677246094,47.17975997924805,0.9208809377248378,6.59959006592338,,5.196886448553375,0.6654093135203727,2.1080312356148867,-1
