Date,PriceA,PriceB,BetaDyn,SpreadDyn,ZScoreDyn
2021-11-29,5281.72998046875,49.75490951538086,95.8305164273708,513.6913068126969,
2021-11-30,5225.33984375,48.32533645629883,95.8305164273708,594.297894616434,
2021-12-01,5404.56005859375,48.36397552490234,95.8305164273708,769.8153075616374,
2021-12-02,5549.18017578125,50.70151519775391,95.8305164273708,690.427790730304,
2021-12-03,5480.85986328125,50.31514358520508,95.8305164273708,659.1336693937346,
2021-12-06,5626.14013671875,52.13108444213867,95.8305164273708,630.3913927097256,
2021-12-07,5671.3798828125,52.8072395324707,95.8305164273708,610.8348473119622,
2021-12-08,5892.580078125,53.48337936401367,95.8305164273708,767.2402133905834,
2021-12-09,5863.52001953125,53.48337936401367,95.8305164273708,738.1801547968334,
2021-12-10,5935.72021484375,54.30442428588867,95.8305164273708,731.6991912359817,
2021-12-13,5785.89990234375,53.116336822509766,95.8305164273708,695.7339139124679,
2021-12-14,5832.0498046875,52.167137145996094,95.8305164273708,832.8461114492156,
2021-12-15,5907.3701171875,53.58124542236328,95.8305164273708,772.6516975407294,
2021-12-16,5760.35009765625,52.29305267333984,95.8305164273708,749.07985440639,
2021-12-17,5636.77978515625,51.31480026245117,95.8305164273708,719.2559756381715,
2021-12-20,5602.740234375,49.861942291259766,95.8305164273708,824.4445545318167,
2021-12-21,5747.0498046875,51.32448196411133,95.8305164273708,828.5981926994336,
2021-12-22,5813.3798828125,52.82576370239258,95.8305164273708,751.0596665419598,
2021-12-23,5784.6298828125,52.93230819702149,95.8305164273708,712.0994525991782,
2021-12-24,5784.6298828125,52.93230819702149,95.8305164273708,712.0994525991782,
2021-12-27,5820.06982421875,53.63936614990234,95.8305164273708,679.7816652367774,
2021-12-28,5869.47021484375,54.51107406616211,95.8305164273708,645.6458360727756,
2021-12-29,5959.330078125,55.838016510009766,95.8305164273708,608.3441196907079,
2021-12-30,5906.02978515625,54.869441986083984,95.8305164273708,647.8628235481601,
2021-12-31,5908.8701171875,55.3634147644043,95.8305164273708,603.3654891319111,
2022-01-03,5757.009765625,54.32704544067383,95.8305164273708,550.8209450719869,
2022-01-04,5819.68017578125,55.12126922607422,95.8305164273708,537.3804797144167,
2022-01-05,5729.10986328125,54.3464241027832,95.8305164273708,521.0639755306238,
2022-01-06,5690.83984375,53.30036163330078,95.8305164273708,583.0386626651652,
2022-01-07,5438.8798828125,50.63679504394531,95.8305164273708,586.3296635242905,
2022-01-10,5515.35986328125,51.334171295166016,95.8305164273708,595.9797176943766,
2022-01-11,5567.490234375,53.1744499206543,95.8305164273708,471.7552377373331,
2022-01-12,5566.990234375,53.29068374633789,95.8305164273708,460.1164901957445,
2022-01-13,5692.02978515625,55.14064407348633,95.8305164273708,407.8733874562122,
2022-01-14,5718.0,55.29561614990234,95.8305164273708,418.9925481851942,
2022-01-17,5718.0,55.29561614990234,95.8305164273708,418.9925481851942,
2022-01-18,5496.830078125,52.80638885498047,95.8305164273708,436.3665634876643,
2022-01-19,5355.0,51.43102264404297,95.8305164273708,426.3385396335607,
2022-01-20,5187.72021484375,50.72397232055664,95.8305164273708,326.81575211714517,
2022-01-21,5154.97998046875,49.89100646972656,95.8305164273708,373.89906539355616,
2022-01-24,5287.169921875,52.30273818969727,95.8305164273708,274.9715105907417,
2022-01-25,5150.080078125,51.3535385131836,95.8305164273708,228.84396203374035,
2022-01-26,5051.56005859375,49.46482849121094,95.8305164273708,311.3199992896816,
2022-01-27,5056.240234375,48.42845916748047,95.8305164273708,415.3159825735074,
2022-01-28,5206.97021484375,49.63916778564453,95.8305164273708,450.02313092052646,
2022-01-31,5327.22021484375,51.03390884399414,95.8305164273708,436.6143750164256,
2022-02-01,5365.27001953125,51.518192291259766,95.8305164273708,428.25504685523356,
2022-02-02,5493.75,52.690162658691406,95.8305164273708,444.4245017754338,
2022-02-03,5431.3798828125,51.179195404052734,95.8305164273708,526.8511569048042,
2022-02-04,5275.02978515625,47.20806121826172,95.8305164273708,751.0568990752945,
2022-02-07,5287.31982421875,47.32428741455078,95.8305164273708,752.2089217250241,
2022-02-08,5299.5498046875,48.58342742919922,95.8305164273708,643.7748643356472,
2022-02-09,5348.93017578125,49.82319259643555,95.8305164273708,574.3478992044747,
2022-02-10,5166.47021484375,47.014347076416016,95.8305164273708,661.0610550151532,
2022-02-11,5037.5,46.3557243347168,95.8305164273708,595.2069976392495,
2022-02-14,4977.93994140625,46.316986083984375,95.8305164273708,539.3592456186807,
2022-02-15,5062.18017578125,47.36303329467773,95.8305164273708,523.3562355855265,
2022-02-16,5113.009765625,47.73108673095703,95.8305164273708,538.9150745577617,
2022-02-17,5001.330078125,46.4428939819336,95.8305164273708,550.6835634546715,
2022-02-18,4996.0400390625,46.61723327636719,95.8305164273708,528.6864997730181,-0.34935627432314165
2022-02-21,4996.0400390625,46.61723327636719,96.1359534591354,514.4478704120065,-0.44704675526143534
2022-02-22,4792.7900390625,44.776954650878906,97.2682852307589,437.4124423160538,-0.9497320544614539
2022-02-23,4636.580078125,43.45970153808594,99.71181438351685,303.1343851963329,-1.7862385682739983
2022-02-24,4775.43994140625,45.15469741821289,100.8710420000693,220.63856163327728,-2.2022508453497696
2022-02-25,4917.490234375,47.13058090209961,101.99733202597518,110.29672552646116,-2.6824023030217896
2022-02-28,4958.43994140625,48.09914779663086,102.859475417723,10.986831005272506,-2.9726524749118286
2022-03-01,4906.68017578125,47.5567512512207,103.79057350366716,-29.262310554187934,-2.904802538096439
